open_time,open,high,low,close,volume
2026-01-05T00:00:00+00:00,2650.00,2650.11,2649.94,2650.08,193
2026-01-05T00:01:00+00:00,2650.08,2650.16,2650.05,2650.08,268
2026-01-05T00:02:00+00:00,2650.08,2650.30,2650.04,2650.22,89
2026-01-05T00:03:00+00:00,2650.22,2650.25,2650.16,2650.23,378
2026-01-05T00:04:00+00:00,2650.23,2650.34,2650.21,2650.25,241
2026-01-05T00:05:00+00:00,2650.25,2650.31,2650.10,2650.19,273
2026-01-05T00:06:00+00:00,2650.19,2650.27,2650.06,2650.13,273
2026-01-05T00:07:00+00:00,2650.13,2650.27,2650.09,2650.22,126
2026-01-05T00:08:00+00:00,2650.22,2650.31,2650.19,2650.29,121
2026-01-05T00:09:00+00:00,2650.29,2650.30,2650.23,2650.30,241
2026-01-05T00:10:00+00:00,2650.30,2650.39,2650.24,2650.28,225
2026-01-05T00:11:00+00:00,2650.28,2650.33,2650.17,2650.18,373
2026-01-05T00:12:00+00:00,2650.18,2650.30,2650.14,2650.27,128
2026-01-05T00:13:00+00:00,2650.27,2650.31,2650.01,2650.13,192
2026-01-05T00:14:00+00:00,2650.13,2650.31,2650.12,2650.27,100
2026-01-05T00:15:00+00:00,2650.27,2650.28,2650.10,2650.13,256
2026-01-05T00:16:00+00:00,2650.13,2650.15,2650.11,2650.12,102
2026-01-05T00:17:00+00:00,2650.12,2650.15,2649.85,2649.92,356
2026-01-05T00:18:00+00:00,2649.92,2649.94,2649.81,2649.82,280
2026-01-05T00:19:00+00:00,2649.82,2649.91,2649.80,2649.89,35
2026-01-05T00:20:00+00:00,2649.89,2649.99,2649.80,2649.83,258
2026-01-05T00:21:00+00:00,2649.83,2649.92,2649.82,2649.88,152
2026-01-05T00:22:00+00:00,2649.88,2649.92,2649.87,2649.91,274
2026-01-05T00:23:00+00:00,2649.91,2650.16,2649.89,2650.11,292
2026-01-05T00:24:00+00:00,2650.11,2650.27,2650.06,2650.21,54
2026-01-05T00:25:00+00:00,2650.21,2650.34,2650.16,2650.18,108
2026-01-05T00:26:00+00:00,2650.18,2650.26,2650.05,2650.05,176
2026-01-05T00:27:00+00:00,2650.05,2650.16,2650.00,2650.12,127
2026-01-05T00:28:00+00:00,2650.12,2650.12,2650.04,2650.06,286
2026-01-05T00:29:00+00:00,2650.06,2650.13,2649.90,2649.92,126
2026-01-05T00:30:00+00:00,2649.92,2649.95,2649.80,2649.80,518
2026-01-05T00:31:00+00:00,2649.80,2649.95,2649.73,2649.90,42
2026-01-05T00:32:00+00:00,2649.90,2649.93,2649.87,2649.92,111
2026-01-05T00:33:00+00:00,2649.92,2649.94,2649.79,2649.85,29
2026-01-05T00:34:00+00:00,2649.85,2650.01,2649.79,2650.00,101
2026-01-05T00:35:00+00:00,2650.00,2650.12,2649.92,2650.07,217
2026-01-05T00:36:00+00:00,2650.07,2650.14,2649.99,2650.05,151
2026-01-05T00:37:00+00:00,2650.05,2650.30,2649.99,2650.22,62
2026-01-05T00:38:00+00:00,2650.22,2650.34,2650.17,2650.30,82
2026-01-05T00:39:00+00:00,2650.30,2650.38,2650.24,2650.33,471
2026-01-05T00:40:00+00:00,2650.33,2650.40,2650.20,2650.26,90
2026-01-05T00:41:00+00:00,2650.26,2650.35,2650.25,2650.33,15
2026-01-05T00:42:00+00:00,2650.33,2650.44,2650.29,2650.31,79
2026-01-05T00:43:00+00:00,2650.31,2650.53,2650.31,2650.46,216
2026-01-05T00:44:00+00:00,2650.46,2650.67,2650.46,2650.66,167
2026-01-05T00:45:00+00:00,2650.66,2650.73,2650.57,2650.73,391
2026-01-05T00:46:00+00:00,2650.73,2650.85,2650.64,2650.75,59
2026-01-05T00:47:00+00:00,2650.75,2650.93,2650.69,2650.88,2
2026-01-05T00:48:00+00:00,2650.88,2650.94,2650.80,2650.83,55
2026-01-05T00:49:00+00:00,2650.83,2650.98,2650.71,2650.97,159
2026-01-05T00:50:00+00:00,2650.97,2651.24,2650.94,2651.17,239
2026-01-05T00:51:00+00:00,2651.17,2651.20,2651.10,2651.15,5
2026-01-05T00:52:00+00:00,2651.15,2651.20,2651.05,2651.06,79
2026-01-05T00:53:00+00:00,2651.06,2651.14,2650.96,2651.14,390
2026-01-05T00:54:00+00:00,2651.14,2651.18,2651.06,2651.10,401
2026-01-05T00:55:00+00:00,2651.10,2651.12,2650.94,2651.00,204
2026-01-05T00:56:00+00:00,2651.00,2651.00,2650.88,2650.90,19
2026-01-05T00:57:00+00:00,2650.90,2650.97,2650.68,2650.70,266
2026-01-05T00:58:00+00:00,2650.70,2650.70,2650.65,2650.69,497
2026-01-05T00:59:00+00:00,2650.69,2650.76,2650.67,2650.75,44
2026-01-05T01:00:00+00:00,2650.75,2650.76,2650.55,2650.57,373
2026-01-05T01:01:00+00:00,2650.57,2650.60,2650.51,2650.54,301
2026-01-05T01:02:00+00:00,2650.54,2650.66,2650.52,2650.61,20
2026-01-05T01:03:00+00:00,2650.61,2650.69,2650.56,2650.66,188
2026-01-05T01:04:00+00:00,2650.66,2650.72,2650.63,2650.72,561
2026-01-05T01:05:00+00:00,2650.72,2650.80,2650.56,2650.58,74
2026-01-05T01:06:00+00:00,2650.58,2650.63,2650.53,2650.60,65
2026-01-05T01:07:00+00:00,2650.60,2650.63,2650.41,2650.45,436
2026-01-05T01:08:00+00:00,2650.45,2650.72,2650.36,2650.54,171
2026-01-05T01:09:00+00:00,2650.54,2650.58,2650.48,2650.51,334
2026-01-05T01:10:00+00:00,2650.51,2650.52,2650.36,2650.38,309
2026-01-05T01:11:00+00:00,2650.38,2650.47,2650.33,2650.35,373
2026-01-05T01:12:00+00:00,2650.35,2650.55,2650.34,2650.51,317
